id;name;details
1;programming invoice;../fake-data/blob/hipster.txt
2;Rubber Islands;../fake-data/blob/hipster.txt
3;South Practical;../fake-data/blob/hipster.txt
4;Nebraska deposit iterate;../fake-data/blob/hipster.txt
5;microchip withdrawal deposit;../fake-data/blob/hipster.txt
6;Forks;../fake-data/blob/hipster.txt
7;Small object-oriented;../fake-data/blob/hipster.txt
8;encompassing Rubber Account;../fake-data/blob/hipster.txt
9;Forest;../fake-data/blob/hipster.txt
10;Borders bandwidth Ball;../fake-data/blob/hipster.txt
