id;format;name;owner_type;date_created;validity
1;invoice Tanzanian;Fantastic National;SERVICE_PROVIDER_DOCUMENT;2023-04-10T20:15:32;false
2;hacking Operations;Salvador Maine Chicken;SPONSOR_ADMINISTRATOR;2023-04-11T07:51:48;true
3;transmit Chicken;optimize;SPONSOR_ADMINISTRATOR;2023-04-11T09:14:18;true
4;program fault-tolerant;Dollar;SPONSOR_DOCUMENT;2023-04-11T07:21:08;false
5;invoice;Cambridgeshire;SERVICE_PROVIDER_DOCUMENT;2023-04-10T19:24:55;false
6;Account Borders;copy;SPONSOR_DOCUMENT;2023-04-11T10:43:53;true
7;envisioneer;Metal;POLICY_DOCUMENT;2023-04-11T12:09:38;false
8;Account;Borders turn-key SSL;SERVICE_PROVIDER_DOCUMENT;2023-04-11T09:04:05;true
9;bricks-and-clicks microchip;scalable;SPONSOR_DOCUMENT;2023-04-11T00:13:11;true
10;back;Georgia Unbranded New;SPONSOR_ADMINISTRATOR;2023-04-10T13:51:28;false
