id;invoice_number;invoice_status;amount_payable;invoice_date;next_invoice_date;invoice_amount;expected_payment_date;grace_period
1;Texas Focused;EXPIRED;15184;2023-04-11T01:44:49;2023-04-11;5801;2023-04-10;2023-04-10
2;Down-sized connect;COLLECTED;78406;2023-04-10T23:58:52;2023-04-11;79862;2023-04-10;2023-04-10
3;program SQL;VOID;13729;2023-04-10T12:33:18;2023-04-10;48950;2023-04-11;2023-04-11
4;quantify;VOID;48352;2023-04-10T22:54:09;2023-04-11;59835;2023-04-10;2023-04-11
5;Baby;EXPIRED;71595;2023-04-10T18:50:03;2023-04-11;87472;2023-04-10;2023-04-10
6;Horizontal web Handcrafted;VOID;13687;2023-04-10T21:28:05;2023-04-11;92121;2023-04-10;2023-04-10
7;transmitting parse Gloves;EXPIRED;69970;2023-04-11T00:12:11;2023-04-10;22551;2023-04-11;2023-04-11
8;Armenian HTTP sticky;OPEN;58385;2023-04-11T03:41:28;2023-04-10;23436;2023-04-11;2023-04-10
9;action-items;OPEN;32458;2023-04-11T01:34:47;2023-04-10;49531;2023-04-10;2023-04-10
10;SDD Awesome Salad;VOID;26260;2023-04-10T23:38:20;2023-04-11;66616;2023-04-11;2023-04-10
