id;name;description;date_created;active
1;invoice Soft one-to-one;City;2023-04-10T23:33:13;false
2;Buckinghamshire Public-key;Generic Buckinghamshire;2023-04-11T07:14:45;true
3;transmitter generating Clothing;Metrics deposit facilitate;2023-04-10T18:00:49;false
4;haptic firewall Cambridgeshire;Paradigm Soft Metal;2023-04-11T00:55:11;false
5;Rustic Designer tangible;Metal Convertible Divide;2023-04-11T05:28:12;true
6;Awesome interactive;Nebraska;2023-04-10T21:10:26;false
7;Iowa Minnesota e-business;European metrics;2023-04-11T12:01:37;false
8;Bypass capacity Optimized;unleash Manat;2023-04-11T05:14:29;true
9;Belarussian Interactions Berkshire;Monitored National;2023-04-10T18:20:53;false
10;Direct proactive Ville;set plum channels;2023-04-11T11:13:57;true
