id;plan_code;name;base_premium;cover_amount;cover_period_unit;cover_period_value;active
1;Refined;Metal Steel Danish;Czech leverage;Account Usability;LIFETIME;24661;true
2;indexing Music;orange bypass synthesize;Chicken encompassing calculate;mission-critical index Chips;DAY;22636;true
3;JSON cross-platform Director;Account pink;Buckinghamshire Engineer;connecting matrix whiteboard;YEAR;83650;true
4;Nevada throughput;deposit;proactive;Right-sized Movies teal;DAY;88733;false
5;Front-line matrix;copy collaborative Savings;Avon;Small Loan;MONTH;75989;false
6;static;Avon leverage Unbranded;deposit Cotton;groupware;LIFETIME;22019;true
7;Steel application;Frozen scalable programming;Books Baby disintermediate;Creative Lebanon;YEAR;18918;true
8;payment motivating Corporate;Dobra Account;JSON;action-items;WEEK;92431;true
9;generating;card Idaho;Kids Mexico invoice;Customizable;MONTH;48449;false
10;Accountability;Station Account;initiatives Mouse Nepal;innovate relationships;WEEK;74856;true
