id;name;balance;owner_identifier;owner_type;description;active
1;deposit Manager;29433;Oval matrix;POLICY_SPONSOR;Bedfordshire Steel;true
2;application Norway and;86424;Designer SMTP Kroon;POLICY_SPONSOR;deposit;true
3;embrace logistical;82146;bandwidth Louisiana Electronics;POLICY_MEMBER;recontextualize;true
4;sensor Interactions;68535;bypassing mesh Sausages;POLICY_SPONSOR;port;true
5;Metal;20374;coherent Iowa;POLICY_MEMBER;override;true
6;neural Manager index;67355;incremental;POLICY_SPONSOR;Unbranded back-end;false
7;Ball local core;54664;Borders;POLICY_MEMBER;Rubber;false
8;neural;8734;client-driven Cloned Future;POLICY_SPONSOR;Car;false
9;frame;99072;optical;POLICY_SPONSOR;Maryland Licensed National;true
10;Concrete navigate;31527;tolerance Toys payment;POLICY_MEMBER;SSL;true
