id;street_address;surburb;province;city;country
1;mindshare Interactions Versatile;Frozen Rubber line;navigating Sports;Gibsonfurt;Zambia
2;Dakota Customer;Corporate Mandatory;Health didactic;Port Naomiberg;Cape Verde
3;Credit;microchip Chile Tuna;indexing invoice;South Richiemouth;Norway
4;bypassing;Applications Pizza Expanded;navigate override SMTP;South Aiyanaburgh;Denmark
5;Sausages ubiquitous Avon;Account Assimilated optical;Shirt;Port Myrna;Netherlands
6;Dinar;quantifying;bus;Port Ernest;Sierra Leone
7;Taka JBOD state;blue invoice;Administrator Borders Greece;Virginia Beach;Guernsey
8;calculate bus Cheese;multi-tasking Supervisor;disintermediate Architect Gloves;Colestad;Tokelau
9;payment fuchsia context-sensitive;Cameroon Pizza Grass-roots;transparent purple alarm;Lake Kelsie;Libyan Arab Jamahiriya
10;Fully-configurable;compressing Unbranded;withdrawal Marketing Gold;Richmond;Austria
