id;name;description;benefit_code;active
1;ubiquitous Account;architect;Outdoors Fort;true
2;bluetooth Springs Technician;Japan Bedfordshire;Bacon;false
3;Executive Cambridgeshire copying;Associate program quantify;systems;false
4;bypassing Implementation;Libyan turquoise Fresh;monitor target Central;false
5;Soap Account;expedite Australia;Landing Towels metrics;false
6;bypassing Cheese Bedfordshire;Fantastic Naira;initiatives Fantastic;false
7;magnetic;Identity withdrawal Tasty;Executive;false
8;web;Dinar withdrawal SMS;Multi-channelled Practical;false
9;Account New;Plaza Key;interactive Rustic red;true
10;Islands application;Rubber;system;false
