id;reset_date;next_possible_claim_date;current_limit_value;current_limit_period
1;2023-04-04;2023-04-04;quantify RAM deploy;48538
2;2023-04-04;2023-04-04;Practical scale;99538
3;2023-04-03;2023-04-04;programming Director Intelligent;16307
4;2023-04-04;2023-04-04;encryption;26110
5;2023-04-04;2023-04-04;Devolved;47264
6;2023-04-04;2023-04-04;USB Steel Brooks;71078
7;2023-04-03;2023-04-04;synthesize rich connecting;74890
8;2023-04-03;2023-04-04;Music Architect;45155
9;2023-04-03;2023-04-04;Well COM;73109
10;2023-04-03;2023-04-03;magenta Wyoming;98905
