id;format;name;owner_type;date_created;validity
1;invoice Tanzanian;Fantastic National;SERVICE_PROVIDER_DOCUMENT;2023-04-03T21:14:20;false
2;hacking Operations;Salvador Maine Chicken;SPONSOR_ADMINISTRATOR;2023-04-04T08:50:36;true
3;transmit Chicken;optimize;SPONSOR_ADMINISTRATOR;2023-04-04T10:13:06;true
4;program fault-tolerant;Dollar;SPONSOR_DOCUMENT;2023-04-04T08:19:56;false
5;invoice;Cambridgeshire;SERVICE_PROVIDER_DOCUMENT;2023-04-03T20:23:43;false
6;Account Borders;copy;SPONSOR_DOCUMENT;2023-04-04T11:42:41;true
7;envisioneer;Metal;POLICY_DOCUMENT;2023-04-04T13:08:26;false
8;Account;Borders turn-key SSL;SERVICE_PROVIDER_DOCUMENT;2023-04-04T10:02:53;true
9;bricks-and-clicks microchip;scalable;SPONSOR_DOCUMENT;2023-04-04T01:11:59;true
10;back;Georgia Unbranded New;SPONSOR_ADMINISTRATOR;2023-04-03T14:50:16;false
