id;invoice_number;invoice_status;amount_payable;invoice_date;next_invoice_date;invoice_amount;expected_payment_date;grace_period
1;Texas Focused;EXPIRED;15184;2023-04-04T02:43:37;2023-04-04;5801;2023-04-03;2023-04-03
2;Down-sized connect;COLLECTED;78406;2023-04-04T00:57:40;2023-04-04;79862;2023-04-03;2023-04-03
3;program SQL;VOID;13729;2023-04-03T13:32:06;2023-04-03;48950;2023-04-04;2023-04-04
4;quantify;VOID;48352;2023-04-03T23:52:57;2023-04-04;59835;2023-04-03;2023-04-04
5;Baby;EXPIRED;71595;2023-04-03T19:48:51;2023-04-04;87472;2023-04-03;2023-04-03
6;Horizontal web Handcrafted;VOID;13687;2023-04-03T22:26:53;2023-04-04;92121;2023-04-03;2023-04-03
7;transmitting parse Gloves;EXPIRED;69970;2023-04-04T01:10:59;2023-04-03;22551;2023-04-04;2023-04-04
8;Armenian HTTP sticky;OPEN;58385;2023-04-04T04:40:16;2023-04-03;23436;2023-04-04;2023-04-03
9;action-items;OPEN;32458;2023-04-04T02:33:35;2023-04-03;49531;2023-04-03;2023-04-03
10;SDD Awesome Salad;VOID;26260;2023-04-04T00:37:08;2023-04-04;66616;2023-04-04;2023-04-03
