id;name;waiting_period_unit;waiting_period_value;description;active
1;repurpose paradigms South;LIFETIME;7142;matrix invoice;true
2;architect;WEEK;46991;Officer Islands;false
3;software;MONTH;71346;matrices user-centric;true
4;Mills;MONTH;40423;compressing Assistant Upgradable;false
5;Director interface;YEAR;45695;Optimization;true
6;turquoise;MONTH;53124;primary compress;true
7;firmware;LIFETIME;42991;Technician;true
8;1080p Berkshire;MONTH;51327;Customer neural;true
9;Garden gold Estonia;DAY;28058;Vision-oriented;true
10;Maryland Dong Rupiah;WEEK;33323;maroon;true
