id;name;description;date_created;active
1;invoice Soft one-to-one;City;2023-04-04T00:32:01;false
2;Buckinghamshire Public-key;Generic Buckinghamshire;2023-04-04T08:13:33;true
3;transmitter generating Clothing;Metrics deposit facilitate;2023-04-03T18:59:37;false
4;haptic firewall Cambridgeshire;Paradigm Soft Metal;2023-04-04T01:53:59;false
5;Rustic Designer tangible;Metal Convertible Divide;2023-04-04T06:27:00;true
6;Awesome interactive;Nebraska;2023-04-03T22:09:14;false
7;Iowa Minnesota e-business;European metrics;2023-04-04T13:00:25;false
8;Bypass capacity Optimized;unleash Manat;2023-04-04T06:13:17;true
9;Belarussian Interactions Berkshire;Monitored National;2023-04-03T19:19:41;false
10;Direct proactive Ville;set plum channels;2023-04-04T12:12:45;true
